SC_Family,SC_Family_Name,Control_Name,Main_Control,Control_Enhancement_Name,Control_Enhancement,Combined
IR,Incident Response,INCIDENT RESPONSE PLAN,IR-8,NA,0,IR-8-0
MA,Maintenance,SYSTEM MAINTENANCE POLICY AND PROCEDURES,MA-1,NA,0,MA-1-0
MA,Maintenance,CONTROLLED MAINTENANCE,MA-2,NA,0,MA-2-0
MA,Maintenance,CONTROLLED MAINTENANCE,MA-2,AUTOMATED MAINTENANCE ACTIVITIES,2,MA-2-2
MA,Maintenance,MAINTENANCE TOOLS,MA-3,NA,0,MA-3-0
MA,Maintenance,MAINTENANCE TOOLS,MA-3,INSPECT TOOLS,1,MA-3-1
MA,Maintenance,MAINTENANCE TOOLS,MA-3,INSPECT MEDIA,2,MA-3-2
MA,Maintenance,MAINTENANCE TOOLS,MA-3,PREVENT UNAUTHORIZED REMOVAL,3,MA-3-3
MA,Maintenance,NONLOCAL MAINTENANCE,MA-4,NA,0,MA-4-0
MA,Maintenance,NONLOCAL MAINTENANCE,MA-4,DOCUMENT NONLOCAL MAINTENANCE,2,MA-4-2
MA,Maintenance,NONLOCAL MAINTENANCE,MA-4,COMPARABLE SECURITY / SANITIZATION,3,MA-4-3
MA,Maintenance,NONLOCAL MAINTENANCE,MA-4,CRYPTOGRAPHIC PROTECTION,6,MA-4-6
MA,Maintenance,MAINTENANCE PERSONNEL,MA-5,NA,0,MA-5-0
MA,Maintenance,MAINTENANCE PERSONNEL,MA-5,INDIVIDUALS WITHOUT APPROPRIATE ACCESS,1,MA-5-1
MA,Maintenance,TIMELY MAINTENANCE,MA-6,NA,0,MA-6-0
MP,Media Protection,MEDIA PROTECTION POLICY AND PROCEDURES,MP-1,NA,0,MP-1-0
MP,Media Protection,MEDIA ACCESS,MP-2,NA,0,MP-2-0
MP,Media Protection,MEDIA MARKING,MP-3,NA,0,MP-3-0
MP,Media Protection,MEDIA STORAGE,MP-4,NA,0,MP-4-0
MP,Media Protection,MEDIA TRANSPORT,MP-5,NA,0,MP-5-0
MP,Media Protection,MEDIA TRANSPORT,MP-5,CRYPTOGRAPHIC PROTECTION,4,MP-5-4
MP,Media Protection,MEDIA SANITIZATION,MP-6,NA,0,MP-6-0
MP,Media Protection,MEDIA SANITIZATION,MP-6,REVIEW / APPROVE / TRACK / DOCUMENT / VERIFY,1,MP-6-1
MP,Media Protection,MEDIA SANITIZATION,MP-6,EQUIPMENT TESTING,2,MP-6-2
MP,Media Protection,MEDIA SANITIZATION,MP-6,NONDESTRUCTIVE TECHNIQUES,3,MP-6-3
MP,Media Protection,MEDIA USE,MP-7,NA,0,MP-7-0
MP,Media Protection,MEDIA USE,MP-7,PROHIBIT USE WITHOUT OWNER,1,MP-7-1
PE,Physical and Environmental Protection,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,PE-1,NA,0,PE-1-0
PE,Physical and Environmental Protection,PHYSICAL ACCESS AUTHORIZATIONS,PE-2,NA,0,PE-2-0
PE,Physical and Environmental Protection,PHYSICAL ACCESS CONTROL,PE-3,NA,0,PE-3-0
PE,Physical and Environmental Protection,PHYSICAL ACCESS CONTROL,PE-3,INFORMATION SYSTEM ACCESS,1,PE-3-1
PE,Physical and Environmental Protection,ACCESS CONTROL FOR TRANSMISSION MEDIUM,PE-4,NA,0,PE-4-0
PE,Physical and Environmental Protection,ACCESS CONTROL FOR OUTPUT DEVICES,PE-5,NA,0,PE-5-0
PE,Physical and Environmental Protection,MONITORING PHYSICAL ACCESS,PE-6,NA,0,PE-6-0
PE,Physical and Environmental Protection,MONITORING PHYSICAL ACCESS,PE-6,INTRUSION ALARMS / SURVEILLANCE EQUIPMENT,1,PE-6-1
PE,Physical and Environmental Protection,MONITORING PHYSICAL ACCESS,PE-6,MONITORING PHYSICAL ACCESS TO INFORMATION SYSTEMS,4,PE-6-4
PE,Physical and Environmental Protection,VISITOR ACCESS RECORDS,PE-8,NA,0,PE-8-0
PE,Physical and Environmental Protection,VISITOR ACCESS RECORDS,PE-8,AUTOMATED RECORDS MAINTENANCE / REVIEW,1,PE-8-1
PE,Physical and Environmental Protection,POWER EQUIPMENT AND CABLING,PE-9,NA,0,PE-9-0
PE,Physical and Environmental Protection,EMERGENCY SHUTOFF,PE-10,NA,0,PE-10-0
PE,Physical and Environmental Protection,EMERGENCY POWER,PE-11,NA,0,PE-11-0
PE,Physical and Environmental Protection,EMERGENCY POWER,PE-11,LONG-TERM ALTERNATE POWER SUPPLY - MINIMAL OPERATIONAL CAPABILITY,1,PE-11-1
PE,Physical and Environmental Protection,EMERGENCY LIGHTING,PE-12,NA,0,PE-12-0
PE,Physical and Environmental Protection,FIRE PROTECTION,PE-13,NA,0,PE-13-0
PE,Physical and Environmental Protection,FIRE PROTECTION,PE-13,DETECTION DEVICES / SYSTEMS,1,PE-13-1
PE,Physical and Environmental Protection,FIRE PROTECTION,PE-13,SUPPRESSION DEVICES / SYSTEMS,2,PE-13-2
PE,Physical and Environmental Protection,FIRE PROTECTION,PE-13,AUTOMATIC FIRE SUPPRESSION,3,PE-13-3
PE,Physical and Environmental Protection,TEMPERATURE AND HUMIDITY CONTROLS,PE-14,NA,0,PE-14-0
PE,Physical and Environmental Protection,TEMPERATURE AND HUMIDITY CONTROLS,PE-14,MONITORING WITH ALARMS / NOTIFICATIONS,2,PE-14-2
PE,Physical and Environmental Protection,WATER DAMAGE PROTECTION,PE-15,NA,0,PE-15-0
PE,Physical and Environmental Protection,WATER DAMAGE PROTECTION,PE-15,AUTOMATION SUPPORT,1,PE-15-1
PE,Physical and Environmental Protection,DELIVERY AND REMOVAL,PE-16,NA,0,PE-16-0
PE,Physical and Environmental Protection,ALTERNATE WORK SITE,PE-17,NA,0,PE-17-0
PE,Physical and Environmental Protection,LOCATION OF INFORMATION SYSTEM COMPONENTS,PE-18,NA,0,PE-18-0
PL,Planning,SECURITY PLANNING POLICY AND PROCEDURES,PL-1,NA,0,PL-1-0
PL,Planning,SYSTEM SECURITY PLAN,PL-2,NA,0,PL-2-0
PL,Planning,SYSTEM SECURITY PLAN,PL-2,PLAN / COORDINATE WITH OTHER ORGANIZATIONAL ENTITIES,3,PL-2-3
PL,Planning,RULES OF BEHAVIOR,PL-4,NA,0,PL-4-0
PL,Planning,RULES OF BEHAVIOR,PL-4,SOCIAL MEDIA AND NETWORKING RESTRICTIONS,1,PL-4-1
PL,Planning,INFORMATION SECURITY ARCHITECTURE,PL-8,NA,0,PL-8-0
PS,Personnel Security,PERSONNEL SECURITY POLICY AND PROCEDURES,PS-1,NA,0,PS-1-0
PS,Personnel Security,POSITION RISK DESIGNATION,PS-2,NA,0,PS-2-0
PS,Personnel Security,PERSONNEL SCREENING,PS-3,NA,0,PS-3-0
PS,Personnel Security,PERSONNEL SCREENING,PS-3,INFORMATION WITH SPECIAL PROTECTION MEASURES,3,PS-3-3
PS,Personnel Security,PERSONNEL TERMINATION,PS-4,NA,0,PS-4-0
PS,Personnel Security,PERSONNEL TERMINATION,PS-4,AUTOMATED NOTIFICATION,2,PS-4-2
PS,Personnel Security,PERSONNEL TRANSFER,PS-5,NA,0,PS-5-0
PS,Personnel Security,ACCESS AGREEMENTS,PS-6,NA,0,PS-6-0
PS,Personnel Security,THIRD-PARTY PERSONNEL SECURITY,PS-7,NA,0,PS-7-0
PS,Personnel Security,PERSONNEL SANCTIONS,PS-8,NA,0,PS-8-0
RA,Risk Assessment,RISK ASSESSMENT POLICY AND PROCEDURES,RA-1,NA,0,RA-1-0
RA,Risk Assessment,SECURITY CATEGORIZATION,RA-2,NA,0,RA-2-0
RA,Risk Assessment,RISK ASSESSMENT,RA-3,NA,0,RA-3-0
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,NA,0,RA-5-0
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,UPDATE TOOL CAPABILITY,1,RA-5-1
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,UPDATE BY FREQUENCY / PRIOR TO NEW SCAN / WHEN IDENTIFIED,2,RA-5-2
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,BREADTH / DEPTH OF COVERAGE,3,RA-5-3
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,DISCOVERABLE INFORMATION,4,RA-5-4
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,PRIVILEGED ACCESS,5,RA-5-5
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,AUTOMATED TREND ANALYSES,6,RA-5-6
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,REVIEW HISTORIC AUDIT LOGS,8,RA-5-8
RA,Risk Assessment,VULNERABILITY SCANNING,RA-5,CORRELATE SCANNING INFORMATION,10,RA-5-10
SA,System and Services Acquisition,SYSTEM AND SERVICES ACQUISITION POLICY AND PROCEDURES,SA-1,NA,0,SA-1-0
SA,System and Services Acquisition,ALLOCATION OF RESOURCES,SA-2,NA,0,SA-2-0
SA,System and Services Acquisition,SYSTEM DEVELOPMENT LIFE CYCLE,SA-3,NA,0,SA-3-0
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,NA,0,SA-4-0
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,FUNCTIONAL PROPERTIES OF SECURITY CONTROLS,1,SA-4-1
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,DESIGN / IMPLEMENTATION INFORMATION FOR SECURITY CONTROLS,2,SA-4-2
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,CONTINUOUS MONITORING PLAN,8,SA-4-8
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,FUNCTIONS / PORTS / PROTOCOLS / SERVICES IN USE,9,SA-4-9
SA,System and Services Acquisition,ACQUISITION PROCESS,SA-4,USE OF APPROVED PIV PRODUCTS,10,SA-4-10
SA,System and Services Acquisition,INFORMATION SYSTEM DOCUMENTATION,SA-5,NA,0,SA-5-0
SA,System and Services Acquisition,SECURITY ENGINEERING PRINCIPLES,SA-8,NA,0,SA-8-0
SA,System and Services Acquisition,EXTERNAL INFORMATION SYSTEM SERVICES,SA-9,NA,0,SA-9-0
SA,System and Services Acquisition,EXTERNAL INFORMATION SYSTEM SERVICES,SA-9,RISK ASSESSMENTS / ORGANIZATIONAL APPROVALS,1,SA-9-1
SA,System and Services Acquisition,EXTERNAL INFORMATION SYSTEM SERVICES,SA-9,IDENTIFICATION OF FUNCTIONS / PORTS / PROTOCOLS / SERVICES,2,SA-9-2
SA,System and Services Acquisition,EXTERNAL INFORMATION SYSTEM SERVICES,SA-9,CONSISTENT INTERESTS OF CONSUMERS AND PROVIDERS,4,SA-9-4
SA,System and Services Acquisition,EXTERNAL INFORMATION SYSTEM SERVICES,SA-9,"PROCESSING, STORAGE, AND SERVICE LOCATION",5,SA-9-5
SA,System and Services Acquisition,DEVELOPER CONFIGURATION MANAGEMENT,SA-10,NA,0,SA-10-0
SA,System and Services Acquisition,DEVELOPER CONFIGURATION MANAGEMENT,SA-10,SOFTWARE / FIRMWARE INTEGRITY VERIFICATION,1,SA-10-1
SA,System and Services Acquisition,DEVELOPER SECURITY TESTING AND EVALUATION,SA-11,NA,0,SA-11-0
SA,System and Services Acquisition,DEVELOPER SECURITY TESTING AND EVALUATION,SA-11,STATIC CODE ANALYSIS,1,SA-11-1
SA,System and Services Acquisition,DEVELOPER SECURITY TESTING AND EVALUATION,SA-11,THREAT AND VULNERABILITY ANALYSES,2,SA-11-2
SA,System and Services Acquisition,DEVELOPER SECURITY TESTING AND EVALUATION,SA-11,DYNAMIC CODE ANALYSIS,8,SA-11-8
SA,System and Services Acquisition,SUPPLY CHAIN PROTECTION,SA-12,NA,0,SA-12-0
SA,System and Services Acquisition,"DEVELOPMENT PROCESS, STANDARDS, AND TOOLS",SA-15,NA,0,SA-15-0
SA,System and Services Acquisition,DEVELOPER-PROVIDED TRAINING,SA-16,NA,0,SA-16-0
SA,System and Services Acquisition,DEVELOPER SECURITY ARCHITECTURE AND DESIGN,SA-17,NA,0,SA-17-0
SC,System and Communications Protection,SYSTEM AND COMMUNICATIONS PROTECTION POLICY AND PROCEDURES,SC-1,NA,0,SC-1-0
SC,System and Communications Protection,APPLICATION PARTITIONING,SC-2,NA,0,SC-2-0
SC,System and Communications Protection,SECURITY FUNCTION ISOLATION,SC-3,NA,0,SC-3-0
SC,System and Communications Protection,INFORMATION IN SHARED RESOURCES,SC-4,NA,0,SC-4-0
SC,System and Communications Protection,DENIAL OF SERVICE PROTECTION,SC-5,NA,0,SC-5-0
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,NA,0,SC-7-0
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,ACCESS POINTS,3,SC-7-3
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,EXTERNAL TELECOMMUNICATIONS SERVICES,4,SC-7-4
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,DENY BY DEFAULT / ALLOW BY EXCEPTION,5,SC-7-5
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,PREVENT SPLIT TUNNELING FOR REMOTE DEVICES,7,SC-7-7
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,ROUTE TRAFFIC TO AUTHENTICATED PROXY SERVERS,8,SC-7-8
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,PREVENT UNAUTHORIZED EXFILTRATION,10,SC-7-10
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,HOST-BASED PROTECTION,12,SC-7-12
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,ISOLATION OF SECURITY TOOLS / MECHANISMS / SUPPORT COMPONENTS,13,SC-7-13
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,FAIL SECURE,18,SC-7-18
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,DYNAMIC ISOLATION / SEGREGATION,20,SC-7-20
SC,System and Communications Protection,BOUNDARY PROTECTION,SC-7,ISOLATION OF INFORMATION SYSTEM COMPONENTS,21,SC-7-21
SC,System and Communications Protection,TRANSMISSION CONFIDENTIALITY AND INTEGRITY,SC-8,NA,0,SC-8-0
SC,System and Communications Protection,TRANSMISSION CONFIDENTIALITY AND INTEGRITY,SC-8,CRYPTOGRAPHIC OR ALTERNATE PHYSICAL PROTECTION,1,SC-8-1
SC,System and Communications Protection,NETWORK DISCONNECT,SC-10,NA,0,SC-10-0
SC,System and Communications Protection,CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT,SC-12,NA,0,SC-12-0
SC,System and Communications Protection,CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT,SC-12,AVAILABILITY,1,SC-12-1
SC,System and Communications Protection,CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT,SC-12,SYMMETRIC KEYS,2,SC-12-2
SC,System and Communications Protection,CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT,SC-12,ASYMMETRIC KEYS,3,SC-12-3
SC,System and Communications Protection,CRYPTOGRAPHIC PROTECTION,SC-13,NA,0,SC-13-0
SC,System and Communications Protection,COLLABORATIVE COMPUTING DEVICES,SC-15,NA,0,SC-15-0
SC,System and Communications Protection,PUBLIC KEY INFRASTRUCTURE CERTIFICATES,SC-17,NA,0,SC-17-0
SC,System and Communications Protection,MOBILE CODE,SC-18,NA,0,SC-18-0
SC,System and Communications Protection,VOICE OVER INTERNET PROTOCOL,SC-19,NA,0,SC-19-0
SC,System and Communications Protection,SECURE NAME / ADDRESS RESOLUTION SERVICE (AUTHORITATIVE SOURCE),SC-20,NA,0,SC-20-0
SC,System and Communications Protection,SECURE NAME / ADDRESS RESOLUTION SERVICE (RECURSIVE OR CACHING RESOLVER),SC-21,NA,0,SC-21-0
SC,System and Communications Protection,ARCHITECTURE AND PROVISIONING FOR NAME / ADDRESS RESOLUTION SERVICE,SC-22,NA,0,SC-22-0
SC,System and Communications Protection,SESSION AUTHENTICITY,SC-23,NA,0,SC-23-0
SC,System and Communications Protection,SESSION AUTHENTICITY,SC-23,INVALIDATE SESSION IDENTIFIERS AT LOGOUT,1,SC-23-1
SC,System and Communications Protection,FAIL IN KNOWN STATE,SC-24,NA,0,SC-24-0
SC,System and Communications Protection,PROTECTION OF INFORMATION AT REST,SC-28,NA,0,SC-28-0
SC,System and Communications Protection,PROTECTION OF INFORMATION AT REST,SC-28,CRYPTOGRAPHIC PROTECTION,1,SC-28-1
SC,System and Communications Protection,PROCESS ISOLATION,SC-39,NA,0,SC-39-0
SI,System and Information Integrity,SYSTEM AND INFORMATION INTEGRITY POLICY AND PROCEDURES,SI-1,NA,0,SI-1-0
SI,System and Information Integrity,FLAW REMEDIATION,SI-2,NA,0,SI-2-0
SI,System and Information Integrity,FLAW REMEDIATION,SI-2,CENTRAL MANAGEMENT,1,SI-2-1
SI,System and Information Integrity,FLAW REMEDIATION,SI-2,AUTOMATED FLAW REMEDIATION STATUS,2,SI-2-2
SI,System and Information Integrity,FLAW REMEDIATION,SI-2,TIME TO REMEDIATE FLAWS / BENCHMARKS FOR CORRECTIVE ACTIONS,3,SI-2-3
SI,System and Information Integrity,MALICIOUS CODE PROTECTION,SI-3,NA,0,SI-3-0
SI,System and Information Integrity,MALICIOUS CODE PROTECTION,SI-3,CENTRAL MANAGEMENT,1,SI-3-1
SI,System and Information Integrity,MALICIOUS CODE PROTECTION,SI-3,AUTOMATIC UPDATES,2,SI-3-2
SI,System and Information Integrity,MALICIOUS CODE PROTECTION,SI-3,NONSIGNATURE-BASED DETECTION,7,SI-3-7
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,NA,0,SI-4-0
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,SYSTEM-WIDE INTRUSION DETECTION SYSTEM,1,SI-4-1
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,AUTOMATED TOOLS FOR REAL- TIME ANALYSIS,2,SI-4-2
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,INBOUND AND OUTBOUND COMMUNICATIONS TRAFFIC,4,SI-4-4
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,SYSTEM-GENERATED ALERTS,5,SI-4-5
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,ANALYZE COMMUNICATIONS TRAFFIC ANOMALIES,11,SI-4-11
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,WIRELESS INTRUSION DETECTION,14,SI-4-14
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,CORRELATE MONITORING INFORMATION,16,SI-4-16
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,ANALYZE TRAFFIC / COVERT EXFILTRATION,18,SI-4-18
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,INDIVIDUALS POSING GREATER RISK,19,SI-4-19
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,PRIVILEGED USER,20,SI-4-20
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,UNAUTHORIZED NETWORK SERVICES,22,SI-4-22
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,HOST-BASED DEVICES,23,SI-4-23
SI,System and Information Integrity,INFORMATION SYSTEM MONITORING,SI-4,INDICATORS OF COMPROMISE,24,SI-4-24
SI,System and Information Integrity,"SECURITY ALERTS, ADVISORIES, AND DIRECTIVES",SI-5,NA,0,SI-5-0
SI,System and Information Integrity,"SECURITY ALERTS, ADVISORIES, AND DIRECTIVES",SI-5,AUTOMATED ALERTS AND ADVISORIES,1,SI-5-1
SI,System and Information Integrity,SECURITY FUNCTION VERIFICATION,SI-6,NA,0,SI-6-0
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,NA,0,SI-7-0
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,INTEGRITY CHECKS,1,SI-7-1
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,AUTOMATED NOTIFICATIONS OF INTEGRITY VIOLATIONS,2,SI-7-2
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,AUTOMATED RESPONSE TO INTEGRITY VIOLATIONS,5,SI-7-5
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,INTEGRATION OF DETECTION AND RESPONSE,7,SI-7-7
SI,System and Information Integrity,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",SI-7,BINARY OR MACHINE EXECUTABLE CODE,14,SI-7-14
SI,System and Information Integrity,SPAM PROTECTION,SI-8,NA,0,SI-8-0
SI,System and Information Integrity,SPAM PROTECTION,SI-8,CENTRAL MANAGEMENT,1,SI-8-1
SI,System and Information Integrity,SPAM PROTECTION,SI-8,AUTOMATIC UPDATES,2,SI-8-2
SI,System and Information Integrity,INFORMATION INPUT VALIDATION,SI-10,NA,0,SI-10-0
SI,System and Information Integrity,ERROR HANDLING,SI-11,NA,0,SI-11-0
SI,System and Information Integrity,INFORMATION HANDLING AND RETENTION,SI-12,NA,0,SI-12-0
SI,System and Information Integrity,MEMORY PROTECTION,SI-16,NA,0,SI-16-0
